OBJECTID,Codigo_Municipio,Nome_municipio,Pop_Total,Total_Respiradores,Respiradores_100mil_hab_Ind,Respiradores_SUS_100mil_hab_Ind,Total_SUS_Respiradores,Shape__Area,Shape__Length,P_Respiradores_SUS
61,2600401,Água Preta,36771,1,2.71953441570803,2.71953441570803,1,0.0438227758278629,1.26575764256341,100
62,4300059,Água Santa,3748,0,0,0,0,0.026831483394858,0.858158825779448,0
63,3500303,Aguaí,36305,1,2.75444153697838,2.75444153697838,1,0.0415171418856062,1.40752000709518,100
64,3100807,Aguanil,4486,0,0,0,0,0.0201585877733805,0.725214324389228,0
65,2600500,Águas Belas,43443,0,0,0,0,0.0728690996116939,1.44319006182586,0
66,3500402,Águas da Prata,8180,1,12.2249388753056,12.2249388753056,1,0.0124703246029299,0.6395709659092,100
67,4200507,Águas de Chapecó,6486,0,0,0,0,0.0127206222409768,0.850622472847702,0
68,3500501,Águas de Lindóia,18705,3,16.0384923817161,16.0384923817161,3,0.00527583060363668,0.381990932544566,100
69,3500550,Águas de Santa Bárbara,6075,0,0,0,0,0.0355872327357929,1.10374219138697,0
70,3500600,Águas de São Pedro,3451,1,28.9771080846132,28.9771080846132,1,0.000317232735710604,0.0843867742178504,100
71,3100906,Águas Formosas,19207,1,5.20643515385016,5.20643515385016,1,0.0696035440824403,1.47626646678297,100
72,4200556,Águas Frias,2366,0,0,0,0,0.00691435722183087,0.597467594179489,0
73,5200258,Águas Lindas de Goiás,212440,4,1.8828845791753,1.41216343438147,3,0.0158863405344505,0.69950175109027,75
74,4200606,Águas Mornas,6469,0,0,0,0,0.0299595920888578,1.00239773192679,0
75,3101003,Águas Vermelhas,13539,1,7.38606987222099,7.38606987222099,1,0.105932344613223,2.37074384892674,100
76,4300109,Agudo,16461,5,30.3748253447543,30.3748253447543,5,0.0499322749112707,1.65601741975175,100
77,3500709,Agudos,37214,4,10.7486429838233,10.7486429838233,4,0.0848837494783083,2.04152230000533,100
78,4100301,Agudos do Sul,9371,3,32.0136591612421,32.0136591612421,3,0.0173375897014694,0.99358674423928,100
79,3200136,Águia Branca,9642,0,0,0,0,0.0389849373726747,1.62757116713077,0
80,2500205,Aguiar,5640,0,0,0,0,0.028213510472284,0.993151595479852,0
81,1700301,Aguiarnópolis,6733,0,0,0,0,0.0192432697429865,0.679384197272344,0
82,3101102,Aimorés,25167,2,7.94691461040251,0,0,0.116170046701029,2.2962067935074,0
83,2900603,Aiquara,4446,1,22.4921277552857,22.4921277552857,1,0.0140504808513242,0.678245129705723,100
84,2300408,Aiuaba,17399,0,0,0,0,0.199061274891832,2.56207341613139,0
85,3101201,Aiuruoca,6003,2,33.3166749958354,33.3166749958354,2,0.0568011011544058,1.41443839417718,100
86,4300208,Ajuricaba,7024,2,28.4738041002278,28.4738041002278,2,0.0297108338235148,1.41407238722331,100
87,3101300,Alagoa,2674,0,0,0,0,0.0141298511113632,0.632603842985983,0
88,2500304,Alagoa Grande,28496,2,7.01852891633914,7.01852891633914,2,0.0262364130469308,0.812589991625431,100
89,2500403,Alagoa Nova,20849,1,4.79639311237949,4.79639311237949,1,0.0100060341533066,0.524091896497247,100
90,2500502,Alagoinha,14489,1,6.90178756297881,6.90178756297881,1,0.00793564543495506,0.453533697408792,100
91,2600609,Alagoinha,14636,0,0,0,0,0.0177746987652085,0.591533959427692,0
92,2200251,Alagoinha do Piauí,7651,0,0,0,0,0.0438412297433217,0.950143068024215,0
93,2900702,Alagoinhas,151596,48,31.6631045674028,25.0666244491939,38,0.0587570164182978,1.31901648003809,79.1666666666667
94,3500758,Alambari,6025,0,0,0,0,0.0141137886274691,0.695510313021305,0
95,3101409,Albertina,3007,0,0,0,0,0.00508033403286845,0.390549520313478,0
96,2100204,Alcântara,22097,0,0,0,0,0.118542537609571,2.02552027263243,0
97,2300507,Alcântaras,11714,0,0,0,0,0.011281946477169,0.606221486580384,0
98,2500536,Alcantil,5492,0,0,0,0,0.0250782006346242,0.860499403821839,0
99,5000252,Alcinópolis,5343,0,0,0,0,0.375786527534501,4.12997236481427,0
100,2900801,Alcobaça,22470,2,8.90075656430797,8.90075656430797,2,0.125955592176297,1.7425154369307,100
101,2100303,Aldeias Altas,26532,1,3.76903361977989,3.76903361977989,1,0.158257808684581,2.01177820603083,100
102,4300307,Alecrim,5950,2,33.6134453781513,33.6134453781513,2,0.0289660865188353,1.10671560739938,100
103,3200201,Alegre,30084,1,3.32402606036431,3.32402606036431,1,0.0669425150061898,1.73750207054233,100
104,4300406,Alegrete,73589,23,31.2546712144478,31.2546712144478,23,0.727947277848443,5.78109780973047,100
105,2200277,Alegrete do Piauí,4915,0,0,0,0,0.0199542059639839,0.619336566416077,0
106,4300455,Alegria,3464,0,0,0,0,0.0158156458621761,0.998141383425508,0
107,3101508,Além Paraíba,35362,7,19.7952604490696,19.7952604490696,7,0.0445716348803558,1.45098578727733,100
108,1500404,Alenquer,56789,0,0,0,0,1.92131568878889,11.2696436343375,0
109,2400505,Alexandria,13577,3,22.0961920895632,22.0961920895632,3,0.0311564383572858,1.07023895256781,100
110,5200308,Alexânia,27653,3,10.8487325064188,10.8487325064188,3,0.0716180298517202,1.48233730380403,100
111,3101607,Alfenas,79996,39,48.7524376218811,43.7521876093805,35,0.0740693925278038,1.74481715648848,89.7435897435898
112,3200300,Alfredo Chaves,14601,1,6.84884596945415,6.84884596945415,1,0.0533339881828283,1.68475589719222,100
113,3500808,Alfredo Marcondes,4166,0,0,0,0,0.0103952749873315,0.553634221988467,0
114,3101631,Alfredo Vasconcelos,6907,0,0,0,0,0.0113744009009338,0.659585336662186,0
115,4200705,Alfredo Wagner,10036,0,0,0,0,0.0670455282842113,1.31079517945758,0
116,2500577,Algodão de Jandaíra,2567,0,0,0,0,0.0180197276113461,0.817209519042371,0
117,2500601,Alhandra,19588,4,20.4206657137023,20.4206657137023,4,0.0149592380002446,0.788593615203536,100
118,2600708,Aliança,38386,0,0,0,0,0.0222991729227431,0.818595509089296,0
119,1700350,Aliança do Tocantins,5390,0,0,0,0,0.130824732492556,2.45146407603447,0
120,2900900,Almadina,5464,0,0,0,0,0.0205798059093922,0.61941122665605,0
121,1700400,Almas,7055,0,0,0,0,0.3324641477098,4.17953857683187,0
122,1500503,Almeirim,34109,4,11.7271101468821,5.86355507344103,2,5.92804208800177,17.137101533222,50
123,3101706,Almenara,41896,3,7.16058812297117,4.77372541531411,2,0.19380275028351,2.92609681568098,66.6666666666667
124,2400604,Almino Afonso,4735,0,0,0,0,0.0104605193328524,0.599157167508035,0
125,4100400,Almirante Tamandaré,118623,3,2.52902051035634,2.52902051035634,3,0.0174563952318749,0.798191826562272,100
126,4300471,Almirante Tamandaré do Sul,1964,0,0,0,0,0.0243737756441078,1.31297399033743,0
127,5200506,Aloândia,1995,0,0,0,0,0.00870090676841073,0.444623601128411,0
128,3101805,Alpercata,7424,0,0,0,0,0.0143248937390581,0.728142571280248,0
129,4300505,Alpestre,6258,1,15.9795461808885,15.9795461808885,1,0.0295745965462402,1.22777051381955,100
130,3101904,Alpinópolis,19853,3,15.1110663375812,15.1110663375812,3,0.0394687003593504,1.39078080299833,100
131,5100250,Alta Floresta,51782,9,17.3805569502916,11.5870379668611,6,0.738427204133018,5.55663750226317,66.6666666666667
132,1100015,Alta Floresta D'Oeste,22945,0,0,0,0,0.587648280508063,5.80735040285881,0
133,3500907,Altair,4160,0,0,0,0,0.0271093816951407,0.991231722701844,0
134,1500602,Altamira,114594,43,37.5237796045168,36.6511335672025,42,13.0473261627722,29.8978570861169,97.6744186046512
135,2100402,Altamira do Maranhão,8128,1,12.3031496062992,12.3031496062992,1,0.0427105970885577,1.24385890212692,100
136,4100459,Altamira do Paraná,1942,1,51.4933058702369,51.4933058702369,1,0.03455150665377,1.7990993651145,100
137,2300606,Altaneira,7586,0,0,0,0,0.00599792020423706,0.501715416136263,0
138,3102001,Alterosa,14466,1,6.91276095672612,6.91276095672612,1,0.0314948755718092,1.04622383221328,100
139,2600807,Altinho,22972,1,4.35312554414069,4.35312554414069,1,0.0371598950234215,0.942459334461532,100
140,3501004,Altinópolis,16184,2,12.3578843302027,12.3578843302027,2,0.0807092207940627,1.94506714005146,100
141,1400050,Alto Alegre,15510,0,0,0,0,2.09519145700578,11.5500937369449,0
142,3501103,Alto Alegre,4099,1,24.3961941937058,24.3961941937058,1,0.0277878615647751,0.910227778866595,100
143,4300554,Alto Alegre,1638,0,0,0,0,0.0105775396516492,0.691637134807706,0
144,2100436,Alto Alegre do Maranhão,27053,3,11.0893431412413,11.0893431412413,3,0.0312226367785939,0.765254290645989,100
145,2100477,Alto Alegre do Pindaré,31919,0,0,0,0,0.152737962019216,2.59299562136875,0
146,1100379,Alto Alegre dos Parecis,13241,0,0,0,0,0.329295765580753,4.2249944524535,0
147,5100300,Alto Araguaia,19044,5,26.2549884478051,26.2549884478051,5,0.459262074493097,5.50720582582591,100
148,4200754,Alto Bela Vista,1937,0,0,0,0,0.00948965172756289,0.820179973826464,0
149,5100359,Alto Boa Vista,6822,0,0,0,0,0.185846972233549,2.99420773131504,0
150,3102050,Alto Caparaó,5847,0,0,0,0,0.00897629466237504,0.555976634475057,0
151,2400703,Alto do Rodrigues,14529,0,0,0,0,0.0156107553150235,0.744948489778916,0
152,4300570,Alto Feliz,3028,0,0,0,0,0.00732580800388405,0.402591982800494,0
153,5100409,Alto Garças,12030,1,8.31255195344971,8.31255195344971,1,0.327858433309075,3.59244777368669,100
154,5200555,Alto Horizonte,6414,0,0,0,0,0.0421770129678976,1.18396979685066,0
155,3153509,Alto Jequitibá,8317,0,0,0,0,0.0131801699400853,0.773638085947529,0
156,2200301,Alto Longá,14304,0,0,0,0,0.14179158167552,1.82220328014795,0
157,5100508,Alto Paraguai,11356,0,0,0,0,0.15485433699547,3.07701748271814,0
158,1100403,Alto Paraíso,21428,1,4.66679111442972,4.66679111442972,1,0.218449901612075,3.62342190993526,100
159,4128625,Alto Paraíso,2741,0,0,0,0,0.0855756590765395,1.26175472158685,0
160,5200605,Alto Paraíso de Goiás,7624,0,0,0,0,0.217184606561773,3.18654573081737,0
161,4100608,Alto Paraná,14770,0,0,0,0,0.0359303598041834,1.00591911428053,0
162,2100501,Alto Parnaíba,11190,0,0,0,0,0.916669443889049,5.0747990300654,0
163,4100707,Alto Piquiri,9836,0,0,0,0,0.0397523951360199,0.982353044904456,0
164,3102100,Alto Rio Doce,11000,0,0,0,0,0.045014422272402,1.46774444553788,0
165,3200359,Alto Rio Novo,7836,0,0,0,0,0.0195322697443885,0.911573143352962,0
166,2300705,Alto Santo,17146,0,0,0,0,0.10920966507517,1.83520860169121,0
167,5100607,Alto Taquari,10847,3,27.6574167972711,27.6574167972711,3,0.12276691226225,2.46030978457518,100
168,4100509,Altônia,22056,1,4.53391367428364,4.53391367428364,1,0.058658444078219,1.27651223267806,100
169,2200400,Altos,40524,1,2.46767347744546,2.46767347744546,1,0.0780914267627679,1.18784820096413,100
170,3501152,Alumínio,18628,1,5.36826283014816,5.36826283014816,1,0.00739735221725368,0.503543744707209,100
171,1300029,Alvarães,16041,0,0,0,0,0.482208313465421,4.93490696372564,0
172,3102209,Alvarenga,3907,0,0,0,0,0.0239270872729662,0.971980489110103,0
173,3501202,Álvares Florence,3679,0,0,0,0,0.0313398200000847,1.02298313909256,0
174,3501301,Álvares Machado,24915,1,4.01364639775236,4.01364639775236,1,0.0304317154233331,1.04474419398325,100
175,3501400,Álvaro de Carvalho,5227,0,0,0,0,0.0134467970068499,0.683583761952812,0
176,3501509,Alvinlândia,3222,0,0,0,0,0.00744667428921275,0.471313781534553,0
177,3102308,Alvinópolis,15203,0,0,0,0,0.0517796082703512,1.39753887173621,0
178,1700707,Alvorada,8412,1,11.887779362815,11.887779362815,1,0.100770781200083,1.86076077374929,100
179,4300604,Alvorada,210305,9,4.27949882313782,4.27949882313782,9,0.00666693412017594,0.511999306286757,100
180,1100346,Alvorada D'Oeste,14411,0,0,0,0,0.250841562796438,3.99103282021796,0
181,3102407,Alvorada de Minas,3606,0,0,0,0,0.0320486902784864,1.1315528017148,0
182,2200459,Alvorada do Gurguéia,5419,0,0,0,0,0.175054941440521,2.19207457199917,0
183,5200803,Alvorada do Norte,8660,0,0,0,0,0.105620516126635,2.77927704349864,0
184,4100806,Alvorada do Sul,11406,1,8.76731544800982,8.76731544800982,1,0.0373155326999495,1.14082202094786,100
185,1400027,Amajari,12796,0,0,0,0,2.31792454660908,14.3636052700504,0
186,5000609,Amambai,39396,3,7.61498629302467,2.53832876434156,1,0.370552381540733,3.34489999735826,33.3333333333333
187,1600105,Amapá,9109,0,0,0,0,0.745136592026142,6.50749818368397,0
188,2100550,Amapá do Maranhão,6962,0,0,0,0,0.0408332645684268,0.915399430930467,0
189,4100905,Amaporã,6257,0,0,0,0,0.0339178484538252,0.910058935892152,0
190,2600906,Amaraji,22829,0,0,0,0,0.019287853958275,0.64735841993488,0
191,4300638,Amaral Ferrador,7031,0,0,0,0,0.0477381246114419,1.43188164738455,0
192,5200829,Amaralina,3812,0,0,0,0,0.112303947455075,3.04771301355841,0
193,2200509,Amarante,17598,0,0,0,0,0.0944177538713689,1.90564007627972,0
194,2100600,Amarante do Maranhão,41435,3,7.24025582237239,7.24025582237239,3,0.60680429850197,4.18132415644437,100
195,2901007,Amargosa,37241,2,5.37042506914422,5.37042506914422,2,0.0359732249302169,1.19074650489173,100
196,1300060,Amaturá,11536,0,0,0,0,0.386899855353221,3.63852207147185,0
197,2901106,Amélia Rodrigues,25102,1,3.98374631503466,3.98374631503466,1,0.014422813898193,0.591815436253471,100
198,2901155,América Dourada,16094,0,0,0,0,0.068120951877944,1.47225396369638,0
199,3501608,Americana,239597,93,38.8151771516338,21.7031098052146,52,0.0117710796497477,0.667726561162237,55.9139784946236
200,5200852,Americano do Brasil,6111,0,0,0,0,0.0112910728411748,0.799345918155317,0
201,3501707,Américo Brasiliense,40504,24,59.2534070709066,56.7845151096188,23,0.010718041610744,0.591131929573617,95.8333333333333
202,3501806,Américo de Campos,5969,0,0,0,0,0.0218676100836319,1.01548474981118,0
203,4300646,Ametista do Sul,7409,1,13.4970981239034,13.4970981239034,1,0.00852807375383691,0.636180776040807,100
204,2300754,Amontada,43452,0,0,0,0,0.0959356736458403,1.68392178663557,0
205,5200902,Amorinópolis,3126,0,0,0,0,0.0345991945109745,1.18655674794773,0
206,2500734,Amparo,2238,0,0,0,0,0.00999468204088316,0.45361962607436,0
207,3501905,Amparo,72195,21,29.087886972782,27.7027494978877,20,0.0391378256382495,1.23843528359709,95.2380952380952
208,2800100,Amparo de São Francisco,2374,0,0,0,0,0.00291475352923953,0.273330508172321,0
209,3102506,Amparo do Serra,4713,0,0,0,0,0.0117946211639151,0.779323038416995,0
210,4101002,Ampére,19152,0,0,0,0,0.0268794120503344,1.36685736607648,0
211,2700201,Anadia,17545,0,0,0,0,0.0153336210432258,0.602200324252907,0
212,2901205,Anagé,22005,1,4.54442172233583,4.54442172233583,1,0.11208984481442,2.18668402624763,100
213,4101051,Anahy,2801,0,0,0,0,0.00915347807529088,0.628206471761632,0
214,1500701,Anajás,29277,0,0,0,0,0.561685148875509,4.1422835471281,0
215,2100709,Anajatuba,26803,0,0,0,0,0.082274204278221,1.30341755142647,0
216,3502002,Analândia,4995,0,0,0,0,0.028530589165598,0.849957941494322,0
217,1300086,Anamã,13614,0,0,0,0,0.1990873927829,2.45875714885101,0
218,1701002,Ananás,9549,0,0,0,0,0.128856224807322,2.06415970288495,0
219,1500800,Ananindeua,530598,97,18.281260012288,16.7735272277694,89,0.0154764953607263,0.926522285177648,91.7525773195876
220,5201108,Anápolis,386923,111,28.687878466775,24.0357900667575,93,0.0788982067822417,2.08079487117395,83.7837837837838
221,1500859,Anapu,27890,1,3.58551452133381,3.58551452133381,1,0.96874415533577,8.68289892843772,100
222,2100808,Anapurus,15732,0,0,0,0,0.0495106702530279,1.55092333863076,0
